user_id,work_id,title,body,visibility,created_at,updated_at
1500,11577852135989989157,"Slow start, strong finish",I learned a lot from this book.,public,2023-07-13 09:46:44,2023-07-27 06:05:18
1359,13634855778341968705,Not my favorite,Dialogue shines throughout.,public,2023-01-23 01:56:44,2023-02-07 20:15:55
1337,4658949131653038310,Solid read,Exceeded expectations.,public,2024-10-27 19:12:44,2024-11-03 23:39:54
54,7962381994623285217,Loved it,Needed tighter editing.,public,2024-08-15 08:16:11,2024-09-07 01:46:00
1459,16099976842937757683,Solid read,Characters felt real and memorable.,public,2024-08-22 09:08:28,2024-08-25 07:39:43
1328,6984741992267919144,Solid read,I learned a lot from this book.,private,2025-04-22 07:16:10,2025-05-17 07:47:25
717,3228613994520151722,Loved it,Would recommend to friends.,public,2024-09-22 13:40:43,2024-10-08 06:39:03
1364,946956601917905978,Solid read,Exceeded expectations.,private,2023-10-23 11:52:58,2023-11-04 07:23:11
181,14669135566151043736,Classic,Exceeded expectations.,public,2023-11-29 01:18:23,2023-12-18 17:11:56
1150,5846971197219791381,Great characters,I learned a lot from this book.,public,2023-03-24 21:18:40,2023-03-26 02:37:57
1113,1690164686481039498,Loved it,Well-paced and engaging.,public,2023-01-19 11:50:56,2023-02-04 08:52:44
630,7127480773571397108,Solid read,Ending surprised me—in a good way.,public,2024-11-04 00:01:45,2024-11-21 07:08:44
1202,10630510257883261956,Mixed feelings,I learned a lot from this book.,private,2024-06-09 15:56:24,2024-06-26 15:48:29
45,1259572235248138095,Classic,Well-paced and engaging.,public,2025-09-16 06:14:04,2025-10-15 15:14:59
1496,9514332392788201514,Overhyped,Exceeded expectations.,public,2023-07-12 19:14:13,2023-08-08 10:41:14
776,14002037918588652378,Not my favorite,Needed tighter editing.,public,2024-04-20 10:24:34,2024-04-27 16:40:50
377,10764342947010047531,Overhyped,Dialogue shines throughout.,public,2024-03-08 00:10:54,2024-03-20 10:42:12
479,5132854979505264910,Page-turner,Characters felt real and memorable.,public,2023-11-02 20:47:34,2023-11-23 19:37:56
1283,12170807919322309380,Not my favorite,Characters felt real and memorable.,public,2023-01-03 21:07:30,2023-02-02 05:04:47
712,208603615030528722,Couldn’t put it down,Would recommend to friends.,public,2024-08-16 12:10:40,2024-09-09 11:31:11
814,10737830139491620068,Couldn’t put it down,Needed tighter editing.,public,2023-08-15 19:19:43,2023-08-19 04:33:01
1468,8294358510385285853,Overhyped,Fantastic world-building and tension.,public,2023-02-23 18:44:09,2023-03-21 22:54:19
782,5843392798628238570,Mixed feelings,Needed tighter editing.,public,2023-07-29 14:08:59,2023-08-12 23:04:01
1065,3430748432087027297,"Slow start, strong finish",Exceeded expectations.,public,2025-08-21 16:37:34,2025-09-03 17:13:33
1155,4834440603378082782,Loved it,Well-paced and engaging.,public,2025-01-08 02:51:16,2025-02-02 16:58:56
885,15290083074727864385,"Slow start, strong finish",Characters felt real and memorable.,public,2024-07-31 13:55:21,2024-08-06 05:06:35
164,6916807659472101070,Solid read,Dialogue shines throughout.,public,2024-08-08 09:04:08,2024-08-21 07:18:30
1489,10510467172665985025,"Slow start, strong finish",Plot dragged in the middle.,public,2025-10-01 21:53:07,2025-10-18 10:45:54
295,1478525142987436342,Page-turner,I learned a lot from this book.,private,2025-04-26 19:52:25,2025-05-19 08:49:48
326,775816367355771962,Mixed feelings,Plot dragged in the middle.,public,2024-12-10 23:42:04,2024-12-17 21:03:17
568,13267767984203395864,Overhyped,Ending surprised me—in a good way.,public,2023-10-08 05:44:18,2023-10-14 21:33:01
620,9994990373580697111,Great characters,Would recommend to friends.,public,2025-04-03 08:03:02,2025-04-14 18:05:48
1243,5383471078073746516,Mixed feelings,Plot dragged in the middle.,private,2025-08-18 07:03:16,2025-08-27 16:08:21
979,15019623005035958325,Not my favorite,Characters felt real and memorable.,public,2025-06-03 10:21:18,2025-06-22 21:33:16
547,661733141089499846,"Slow start, strong finish",Well-paced and engaging.,public,2023-12-28 07:09:50,2024-01-15 15:59:41
318,14465828328419486009,Couldn’t put it down,Ending surprised me—in a good way.,public,2024-08-11 19:30:08,2024-08-18 06:25:16
416,5356087694942391611,Overhyped,Exceeded expectations.,public,2023-06-20 08:51:32,2023-06-22 16:30:06
134,14983019309366695483,Not my favorite,Needed tighter editing.,public,2023-01-27 04:13:11,2023-02-10 01:16:06
1080,3248896136511468827,Classic,Exceeded expectations.,public,2024-05-15 17:09:24,2024-05-20 22:03:23
976,1732907637904731976,Mixed feelings,Fantastic world-building and tension.,public,2024-06-06 11:11:03,2024-06-23 12:05:25
557,6586219463724956495,Solid read,Fantastic world-building and tension.,public,2025-10-14 06:52:13,2025-10-19 03:05:15
1447,5149370861666306197,Page-turner,Characters felt real and memorable.,public,2024-03-06 01:07:53,2024-03-26 18:49:39
1088,12878475007313609940,Solid read,Needed tighter editing.,private,2025-08-13 08:46:17,2025-09-08 11:36:49
69,4032086982381950629,Mixed feelings,Characters felt real and memorable.,public,2024-03-03 17:37:14,2024-03-13 12:02:03
1317,14155643268657550586,Classic,Characters felt real and memorable.,public,2023-07-12 23:24:08,2023-07-18 16:05:41
726,1269652350671953612,Overhyped,Exceeded expectations.,public,2025-03-21 10:33:59,2025-03-25 14:43:20
488,15355460126397228577,"Slow start, strong finish",Plot dragged in the middle.,public,2025-05-17 17:17:39,2025-05-24 19:04:14
804,11054606073740964603,Not my favorite,Dialogue shines throughout.,public,2023-03-25 07:39:35,2023-04-08 01:42:48
76,12260409854503295097,Page-turner,Fantastic world-building and tension.,public,2023-02-09 08:09:03,2023-02-27 11:07:11
1259,11776947380749416783,Overhyped,Would recommend to friends.,public,2023-02-01 13:52:19,2023-02-12 19:23:42
1341,1457290378470454341,Mixed feelings,Exceeded expectations.,public,2024-10-23 13:20:34,2024-11-10 21:50:36
979,8156726088673849206,Classic,Exceeded expectations.,public,2023-07-12 05:13:29,2023-07-19 07:36:10
997,10107083323061427951,Loved it,Fantastic world-building and tension.,private,2024-06-30 05:27:49,2024-07-28 18:32:41
1332,17829453649328991460,Classic,I learned a lot from this book.,public,2024-10-13 16:47:26,2024-10-24 06:32:34
1105,7853117367304617016,Great characters,Characters felt real and memorable.,public,2023-08-24 17:42:33,2023-09-20 17:31:47
375,4671592569894425671,Classic,I learned a lot from this book.,public,2023-03-23 08:12:56,2023-04-14 16:02:20
712,16402550578320390332,Page-turner,Ending surprised me—in a good way.,public,2023-03-18 15:56:30,2023-03-19 14:26:49
1329,18106122979632733146,Couldn’t put it down,Needed tighter editing.,public,2025-07-17 19:21:12,2025-07-20 20:07:30
75,4400128802484309232,Couldn’t put it down,I learned a lot from this book.,public,2024-03-02 08:14:53,2024-03-07 13:05:40
334,4079163327097061661,Loved it,Would recommend to friends.,private,2023-07-17 12:30:56,2023-07-28 20:40:24
329,6746436713619259293,Overhyped,Exceeded expectations.,public,2025-03-26 04:59:07,2025-04-05 12:44:49
432,2566711864085692744,Solid read,Characters felt real and memorable.,public,2024-01-11 04:17:08,2024-01-19 21:41:46
155,15423401509807442811,Solid read,I learned a lot from this book.,public,2025-03-29 03:50:47,2025-04-07 13:52:39
1228,11211178861758153394,Great characters,Exceeded expectations.,private,2025-07-17 07:22:58,2025-08-15 18:54:57
1270,5109816613078353735,Classic,Fantastic world-building and tension.,public,2023-10-05 23:54:58,2023-10-10 14:58:33
1284,1673741225135453673,Not my favorite,I learned a lot from this book.,public,2023-08-12 01:42:34,2023-09-10 23:55:20
1464,270668920701005632,Loved it,Exceeded expectations.,public,2023-01-15 07:50:52,2023-01-20 02:44:07
692,2853957443145773645,Solid read,Fantastic world-building and tension.,public,2024-02-26 00:03:36,2024-03-23 13:28:43
965,6010627367355187190,Not my favorite,Plot dragged in the middle.,public,2023-04-11 08:07:42,2023-05-04 09:37:23
1447,4270931053671341197,Couldn’t put it down,Ending surprised me—in a good way.,public,2024-10-18 12:05:19,2024-10-26 20:03:36
117,787198904355938734,Solid read,Would recommend to friends.,public,2023-04-17 19:18:55,2023-04-17 19:37:48
1170,6129045991758013973,Great characters,Would recommend to friends.,public,2025-10-06 20:20:19,2025-10-18 23:33:09
191,9157508169755065317,Page-turner,Would recommend to friends.,public,2023-04-14 20:19:46,2023-04-23 01:06:08
801,1423551156056189232,Classic,Dialogue shines throughout.,public,2024-01-28 09:57:48,2024-02-04 06:54:06
1161,4547997176467826346,Couldn’t put it down,Plot dragged in the middle.,public,2023-04-25 06:38:13,2023-05-10 10:21:44
38,13188006702595529538,Solid read,Ending surprised me—in a good way.,public,2023-04-21 08:39:42,2023-05-01 02:40:05
263,11051472151409317730,Classic,Exceeded expectations.,private,2024-11-10 22:04:08,2024-11-30 15:22:52
169,8247832647130461778,Great characters,Characters felt real and memorable.,public,2024-02-11 16:05:23,2024-03-06 19:00:21
664,12995159836619043485,Couldn’t put it down,Characters felt real and memorable.,public,2024-08-14 07:32:06,2024-08-16 22:32:01
719,2025658140075295629,Solid read,Plot dragged in the middle.,public,2024-10-15 09:03:22,2024-10-29 01:38:46
740,10170517163702172207,"Slow start, strong finish",Would recommend to friends.,private,2024-07-28 11:54:57,2024-08-20 05:23:53
72,2450843868975062990,Overhyped,Fantastic world-building and tension.,public,2025-01-03 23:11:21,2025-01-08 21:53:57
21,11743817671784139233,Loved it,I learned a lot from this book.,private,2023-03-31 09:10:44,2023-04-09 00:22:44
195,12527221602910079185,Not my favorite,Well-paced and engaging.,public,2023-03-18 08:20:07,2023-04-10 19:45:25
448,16378313665182802831,Page-turner,Dialogue shines throughout.,public,2025-10-29 14:58:11,2025-10-31 10:40:19
188,9372000630272694801,Page-turner,Ending surprised me—in a good way.,public,2025-10-05 10:43:03,2025-10-19 19:01:13
899,17903441912458778426,Loved it,Well-paced and engaging.,public,2023-08-07 07:37:28,2023-08-31 09:48:25
884,14371686511629888616,Not my favorite,Would recommend to friends.,private,2023-08-14 09:33:32,2023-08-15 17:11:38
244,7744168874106787069,Couldn’t put it down,Fantastic world-building and tension.,public,2024-01-03 09:08:28,2024-01-30 04:58:43
262,9441722892945108144,Loved it,Would recommend to friends.,public,2024-07-30 20:20:10,2024-08-11 08:46:10
1257,10382293602011744426,Great characters,Characters felt real and memorable.,public,2025-08-01 23:16:17,2025-08-31 10:44:22
582,6027912079263958553,Loved it,Fantastic world-building and tension.,public,2025-10-21 02:50:36,2025-11-06 17:42:44
291,13446522895888490538,Couldn’t put it down,Would recommend to friends.,public,2024-05-02 15:36:16,2024-05-26 09:07:14
157,16177714257576446213,Not my favorite,Dialogue shines throughout.,private,2025-04-20 00:12:09,2025-05-08 09:58:44
846,13938016825708408289,Not my favorite,Dialogue shines throughout.,public,2024-10-18 08:34:27,2024-11-10 22:03:50
1158,6584480341691050480,Couldn’t put it down,Exceeded expectations.,public,2024-03-04 12:36:13,2024-03-20 19:38:47
269,1690164686481039498,Mixed feelings,Ending surprised me—in a good way.,public,2023-10-21 19:50:09,2023-11-08 12:50:37
1316,6360744024224617328,Overhyped,Would recommend to friends.,public,2025-03-28 03:19:47,2025-04-05 09:42:40
420,3060347528268126887,Great characters,Plot dragged in the middle.,public,2023-05-31 08:40:16,2023-06-13 18:38:16
224,6167318686411354587,Couldn’t put it down,Fantastic world-building and tension.,public,2023-05-01 23:29:13,2023-05-21 23:05:18
379,2779917998965067987,Page-turner,Characters felt real and memorable.,public,2024-06-16 04:28:04,2024-07-10 07:42:22
3,5270310408894456193,Not my favorite,Needed tighter editing.,public,2025-09-12 12:35:47,2025-10-08 23:15:21
530,9103266327803511987,Page-turner,Characters felt real and memorable.,public,2023-05-08 05:55:51,2023-05-08 13:18:40
443,1548842655614238905,Overhyped,Would recommend to friends.,public,2023-11-25 16:47:23,2023-12-25 10:46:37
39,14075718752724053043,Page-turner,I learned a lot from this book.,public,2023-05-19 18:45:45,2023-05-21 13:09:38
228,16479956538639717321,Not my favorite,Fantastic world-building and tension.,public,2025-05-04 02:18:54,2025-06-02 05:50:25
1078,8861617233647152752,Overhyped,Fantastic world-building and tension.,public,2023-03-14 00:50:23,2023-03-31 09:52:44
1200,11656425798511022075,Loved it,Plot dragged in the middle.,public,2025-01-16 15:13:54,2025-02-03 03:53:50
736,16297883081441020887,Not my favorite,Characters felt real and memorable.,public,2025-09-16 02:16:44,2025-10-14 20:30:12
1470,13184979121252672313,Overhyped,Needed tighter editing.,public,2024-04-01 01:48:22,2024-04-06 04:49:34
1315,17520307160609258704,Page-turner,Dialogue shines throughout.,public,2025-10-23 11:52:20,2025-11-20 01:11:55
1277,8218132953217641912,"Slow start, strong finish",Well-paced and engaging.,public,2024-07-01 05:47:45,2024-07-01 06:23:26
285,15864686839105519265,Solid read,Would recommend to friends.,public,2023-01-08 04:47:38,2023-01-26 20:34:01
686,18229542361834173782,"Slow start, strong finish",Characters felt real and memorable.,private,2023-07-01 15:24:29,2023-07-11 05:51:21
894,3673531568474533733,Solid read,Ending surprised me—in a good way.,public,2023-02-17 10:33:01,2023-03-03 19:01:29
1199,13956641935326927920,Overhyped,Dialogue shines throughout.,private,2024-03-07 14:35:01,2024-03-12 10:28:27
1162,7507929374321045848,"Slow start, strong finish",Characters felt real and memorable.,private,2023-09-26 14:13:20,2023-09-26 23:46:02
1371,2759585452563689008,Great characters,Ending surprised me—in a good way.,public,2025-08-31 14:14:07,2025-09-13 22:50:12
1008,3000888455886155227,Great characters,Fantastic world-building and tension.,public,2025-08-01 18:30:56,2025-08-11 18:43:53
155,7104451380702485653,Loved it,Well-paced and engaging.,public,2023-10-05 02:19:24,2023-10-31 05:08:29
419,16745857198413825052,Mixed feelings,Would recommend to friends.,private,2024-04-05 14:33:12,2024-04-25 23:57:09
793,5513555108881144922,Classic,Plot dragged in the middle.,public,2023-01-18 12:19:38,2023-01-23 15:42:06
553,14855598396249723874,Couldn’t put it down,Would recommend to friends.,public,2023-12-23 23:20:34,2023-12-27 12:46:21
443,6182606431004784033,Not my favorite,Characters felt real and memorable.,public,2023-02-20 13:07:09,2023-03-16 03:46:33
727,17507020526682791261,"Slow start, strong finish",Fantastic world-building and tension.,public,2023-11-26 08:15:48,2023-11-28 00:22:23
1248,9557547814898853167,Couldn’t put it down,Ending surprised me—in a good way.,public,2025-01-03 12:21:26,2025-01-23 12:55:09
486,4927785186870570818,Not my favorite,Dialogue shines throughout.,public,2023-09-25 12:01:34,2023-10-04 12:52:02
105,11604851162039493234,Classic,Characters felt real and memorable.,public,2024-11-22 00:47:13,2024-11-29 17:54:11
777,5866452214782031627,Loved it,Well-paced and engaging.,public,2025-10-22 19:52:03,2025-11-18 08:17:27
782,3310784660501175729,Mixed feelings,Fantastic world-building and tension.,public,2023-05-06 03:21:27,2023-05-17 01:29:07
163,5996341991258472857,Not my favorite,Characters felt real and memorable.,public,2025-08-28 21:10:02,2025-09-21 16:25:47
251,12660317350948174090,Mixed feelings,Needed tighter editing.,public,2025-01-17 22:00:42,2025-02-11 20:36:27
310,5805685655951839076,"Slow start, strong finish",Fantastic world-building and tension.,public,2024-03-13 20:14:17,2024-03-31 00:53:31
1453,17074494267917621519,Overhyped,Well-paced and engaging.,public,2025-05-24 15:18:08,2025-06-18 15:12:01
517,16111096911005685936,Overhyped,Needed tighter editing.,public,2025-09-01 07:22:07,2025-09-11 16:13:14
482,9830711699336665314,Loved it,Would recommend to friends.,public,2023-06-29 08:02:14,2023-07-07 12:09:23
370,8716286331501928171,Loved it,Dialogue shines throughout.,public,2023-10-22 11:23:47,2023-11-18 22:09:14
1434,16943676241267669554,Mixed feelings,Needed tighter editing.,public,2025-09-14 21:34:56,2025-09-21 09:56:43
433,4695074992624663637,Not my favorite,Well-paced and engaging.,public,2023-11-22 18:31:40,2023-12-17 20:58:31
366,16862391337061808259,Page-turner,Ending surprised me—in a good way.,public,2024-07-16 19:11:59,2024-07-19 18:00:27
1080,2362446027596082770,Not my favorite,Ending surprised me—in a good way.,public,2025-07-06 14:48:19,2025-07-23 13:57:04
712,2534357535122651731,"Slow start, strong finish",Plot dragged in the middle.,public,2023-05-28 15:19:27,2023-06-05 21:24:38
974,9685105430564003281,Great characters,Dialogue shines throughout.,public,2025-10-01 23:53:06,2025-10-05 22:59:17
1376,273264149082544020,Great characters,Ending surprised me—in a good way.,public,2025-03-17 23:55:07,2025-03-21 11:04:50
194,2227293577817097089,Mixed feelings,Ending surprised me—in a good way.,public,2024-04-03 13:18:57,2024-04-18 20:11:38
654,13451722910423386615,Mixed feelings,Would recommend to friends.,public,2024-07-20 12:25:44,2024-08-06 05:14:52
1022,12453146079112960672,Loved it,Dialogue shines throughout.,private,2024-06-04 16:06:15,2024-06-11 17:46:19
1238,17856687241947600980,Classic,Dialogue shines throughout.,public,2024-02-26 13:46:52,2024-03-04 01:05:25
417,12526556655107010363,Couldn’t put it down,Plot dragged in the middle.,public,2025-08-23 01:10:45,2025-09-06 21:24:28
1406,13702035464368879564,Classic,Fantastic world-building and tension.,public,2024-04-25 10:47:27,2024-05-04 09:48:17
489,7131381486503684198,Not my favorite,Exceeded expectations.,public,2023-12-07 23:45:37,2023-12-28 19:07:44
1204,5713805904939569166,Couldn’t put it down,Needed tighter editing.,public,2024-11-23 11:20:58,2024-12-09 07:54:24
731,11596751522667901693,Overhyped,Well-paced and engaging.,public,2023-07-18 05:36:26,2023-08-04 10:04:14
357,1197730968819491290,Loved it,Needed tighter editing.,public,2024-04-22 17:15:37,2024-05-02 19:52:23
365,109645047449161677,Couldn’t put it down,Characters felt real and memorable.,public,2025-05-25 04:32:24,2025-06-10 18:14:51
1467,12408872560488664927,Loved it,Fantastic world-building and tension.,public,2025-05-15 01:24:40,2025-05-26 07:38:21
1167,532315486387550818,Great characters,Well-paced and engaging.,public,2023-09-14 18:40:19,2023-09-14 22:26:18
103,14708279853507563750,Loved it,Needed tighter editing.,public,2025-02-28 00:58:33,2025-03-13 15:13:38
1042,17610558420161292001,Not my favorite,Needed tighter editing.,public,2023-08-08 07:07:08,2023-08-28 05:50:41
773,7604561735334323660,Loved it,Characters felt real and memorable.,private,2024-12-05 07:09:18,2024-12-11 02:38:42
503,17523452305239255277,Page-turner,I learned a lot from this book.,public,2025-05-02 02:10:30,2025-05-17 13:46:50
598,10044257179887988109,Solid read,Fantastic world-building and tension.,public,2023-06-11 14:15:02,2023-07-01 17:28:04
706,17857360711555669358,"Slow start, strong finish",Fantastic world-building and tension.,public,2025-04-15 01:52:42,2025-04-20 11:11:52
806,15044532468622449306,Overhyped,Characters felt real and memorable.,public,2025-09-15 11:22:02,2025-09-24 14:13:17
564,11216221753086750973,Loved it,Dialogue shines throughout.,public,2023-06-30 10:49:12,2023-07-17 23:06:58
769,6770928012963494175,Page-turner,Characters felt real and memorable.,public,2024-06-28 20:01:35,2024-07-04 12:26:03
1396,15502308076993815542,Great characters,I learned a lot from this book.,public,2025-05-04 05:44:10,2025-05-20 06:08:12
387,3140561345542125667,Loved it,Needed tighter editing.,public,2023-01-24 08:22:00,2023-02-09 15:49:42
30,11311234550573196595,Overhyped,Well-paced and engaging.,public,2025-03-17 14:16:42,2025-04-02 07:02:01
826,1612957269588290301,Mixed feelings,Well-paced and engaging.,public,2023-02-13 04:13:34,2023-03-12 13:09:15
225,17746137171668939709,Classic,Exceeded expectations.,public,2024-02-04 13:49:04,2024-02-24 12:19:35
1118,17667751894964808977,"Slow start, strong finish",Needed tighter editing.,public,2023-05-17 11:19:52,2023-05-18 05:50:40
1394,3971191153102695295,Classic,Would recommend to friends.,public,2024-02-29 12:27:33,2024-02-29 21:51:12
873,483853796135833890,Page-turner,Well-paced and engaging.,public,2025-02-24 03:01:36,2025-02-26 03:31:22
79,15902786190584073685,Page-turner,Well-paced and engaging.,public,2025-05-06 20:13:51,2025-05-08 06:11:22
1256,17634202404154483165,"Slow start, strong finish",Well-paced and engaging.,public,2023-09-11 01:31:31,2023-09-21 04:14:59
1275,7616489503066566438,Great characters,Characters felt real and memorable.,public,2024-07-24 06:44:53,2024-07-25 05:36:13
1023,10956574513652831042,"Slow start, strong finish",Plot dragged in the middle.,public,2023-12-23 06:41:46,2023-12-28 04:30:26
1237,6932902619372656909,Solid read,Well-paced and engaging.,public,2023-07-18 20:49:28,2023-07-26 09:12:37
1442,1453586338515156784,"Slow start, strong finish",Characters felt real and memorable.,public,2023-04-25 12:49:12,2023-05-08 06:55:49
602,480569235808031307,Page-turner,Plot dragged in the middle.,public,2025-06-16 03:39:53,2025-07-02 00:23:44
1324,14819235428537651538,Not my favorite,Well-paced and engaging.,public,2023-02-16 12:48:44,2023-03-18 05:20:04
1036,13762045878217591505,Mixed feelings,Fantastic world-building and tension.,public,2025-05-16 12:16:59,2025-06-07 01:11:33
1009,3627543828271940923,Mixed feelings,Well-paced and engaging.,public,2023-12-16 23:25:16,2023-12-17 17:58:19
25,15152120110575135471,Solid read,Exceeded expectations.,public,2025-03-07 14:28:49,2025-03-28 13:41:48
229,4242028935397669086,Not my favorite,Exceeded expectations.,public,2023-04-18 08:03:02,2023-05-02 12:13:23
591,1703117364324420454,Overhyped,Fantastic world-building and tension.,public,2024-10-18 17:25:27,2024-11-14 16:30:36
640,10246193627129363835,Classic,Ending surprised me—in a good way.,public,2025-04-29 11:22:29,2025-05-06 16:00:51
1006,14868733503018839949,Classic,Dialogue shines throughout.,public,2023-09-13 09:17:46,2023-10-11 15:53:31
961,5135043854262148143,Great characters,Characters felt real and memorable.,public,2023-06-04 09:18:46,2023-06-16 07:09:40
544,12604755704307362474,Overhyped,Exceeded expectations.,public,2023-07-15 01:15:42,2023-07-16 18:44:06
200,10686868891424568538,Not my favorite,Exceeded expectations.,public,2023-09-07 11:43:09,2023-09-29 20:03:55
628,10865756375823550839,Loved it,I learned a lot from this book.,public,2025-08-23 02:30:50,2025-09-16 18:25:45
528,4895363571964446871,Solid read,Fantastic world-building and tension.,public,2023-10-28 11:06:03,2023-11-19 18:30:58
721,5808800523569662710,Loved it,Plot dragged in the middle.,private,2024-09-23 17:04:52,2024-10-11 15:50:08
1051,10417266204612299503,Loved it,Plot dragged in the middle.,public,2023-02-12 12:20:10,2023-03-13 11:32:41
718,16245571487759930024,Solid read,Would recommend to friends.,private,2023-07-17 02:18:53,2023-07-28 15:45:20
948,4375360539107796147,Classic,Fantastic world-building and tension.,private,2023-09-30 19:38:36,2023-10-29 17:38:40
494,15993570148925712502,Mixed feelings,Characters felt real and memorable.,public,2023-03-04 10:14:24,2023-03-10 23:39:00
645,13716876444305675621,Mixed feelings,Dialogue shines throughout.,public,2023-12-03 05:12:12,2023-12-25 23:52:12
789,10840806264657800465,Couldn’t put it down,Well-paced and engaging.,public,2023-04-16 04:54:38,2023-05-09 08:51:31
276,16411766216988700506,Not my favorite,Fantastic world-building and tension.,public,2024-01-16 12:33:56,2024-01-30 17:40:51
1022,15282635733793688915,"Slow start, strong finish",Well-paced and engaging.,public,2023-04-19 23:54:58,2023-04-30 18:05:39
462,14664745103523921484,Page-turner,Ending surprised me—in a good way.,private,2025-07-02 13:03:38,2025-07-07 09:53:18
198,11943881752736373927,Solid read,Plot dragged in the middle.,public,2025-04-11 04:39:02,2025-05-07 06:39:17
669,13740661052312801431,Loved it,Dialogue shines throughout.,public,2025-04-10 10:34:14,2025-05-01 12:20:03
164,2919942154765294117,Mixed feelings,Well-paced and engaging.,private,2025-02-13 10:31:42,2025-03-09 06:21:03
430,8836800179886623469,Classic,Dialogue shines throughout.,public,2024-04-25 12:53:28,2024-05-22 12:50:07
986,6301580180184938872,Mixed feelings,Would recommend to friends.,public,2023-09-05 02:00:46,2023-09-27 08:17:18
1467,13566464637326384640,Page-turner,Fantastic world-building and tension.,public,2025-08-03 15:25:27,2025-08-24 19:29:18
654,2258033031974799967,Overhyped,Characters felt real and memorable.,public,2025-10-07 06:51:49,2025-10-14 18:01:55
1476,12475144401582600273,Page-turner,Dialogue shines throughout.,public,2025-02-03 11:06:05,2025-02-17 20:51:32
363,15902945585562885435,Couldn’t put it down,Would recommend to friends.,public,2024-10-10 22:58:02,2024-10-14 15:10:13
420,1854285384697247281,Classic,Ending surprised me—in a good way.,private,2024-04-23 12:51:40,2024-05-21 02:07:19
113,9886622800810576824,Couldn’t put it down,Well-paced and engaging.,public,2023-04-12 05:58:08,2023-05-05 14:35:15
479,292160652209878608,"Slow start, strong finish",Fantastic world-building and tension.,public,2024-10-25 15:39:20,2024-11-19 08:23:24
1411,9384105397070511174,Great characters,Would recommend to friends.,public,2025-03-18 14:13:00,2025-03-26 23:24:35
219,8560482469887074250,Couldn’t put it down,Needed tighter editing.,public,2025-03-27 07:29:26,2025-04-13 04:18:30
469,3935142386727239119,Solid read,Ending surprised me—in a good way.,public,2023-06-25 00:02:59,2023-06-25 16:27:53
599,10131461247921226253,Page-turner,I learned a lot from this book.,public,2025-04-30 15:50:41,2025-05-26 11:19:52
1112,7404800679006283722,Page-turner,Exceeded expectations.,private,2024-04-22 12:14:37,2024-05-15 11:31:15
900,9377547198198541649,Solid read,Exceeded expectations.,public,2024-10-10 17:00:06,2024-10-26 07:53:01
142,15632462465262756674,Great characters,Well-paced and engaging.,public,2023-01-21 15:00:34,2023-01-28 02:47:23
1075,2158968494354216721,"Slow start, strong finish",Characters felt real and memorable.,public,2025-10-23 00:34:38,2025-11-19 19:56:02
912,1800759662543783313,"Slow start, strong finish",Dialogue shines throughout.,public,2025-04-28 16:10:58,2025-04-29 23:44:47
185,18156007243796062395,Great characters,Would recommend to friends.,public,2025-04-20 04:31:50,2025-04-27 00:43:19
913,9466137330363797275,Page-turner,Characters felt real and memorable.,public,2025-04-26 05:19:59,2025-05-07 19:42:49
662,17717577037005093739,Solid read,Dialogue shines throughout.,public,2024-05-03 02:50:13,2024-05-10 22:31:54
